iter	MultiClass
0	1.067208037
1	1.038210961
2	1.010761249
3	0.9843100305
4	0.9602112515
5	0.9381071849
6	0.9186090596
7	0.9013745747
8	0.8843969722
9	0.8699079058
10	0.8534177286
11	0.8383995677
12	0.824881173
13	0.811867122
14	0.7993410078
15	0.7893676624
16	0.7777829088
17	0.7663094001
18	0.7565481208
19	0.7465052745
20	0.7371936831
21	0.7281558515
22	0.7200600662
23	0.7125337174
24	0.7044479318
25	0.6974638283
26	0.6896947458
27	0.6822567405
28	0.6758276858
29	0.6687129266
30	0.663451629
31	0.658055746
32	0.6526764905
33	0.648102472
34	0.6424792096
35	0.6376012316
36	0.6311456869
37	0.627430174
38	0.6225797084
39	0.61685549
40	0.6130345754
41	0.6085155426
42	0.6046453111
43	0.6002505183
44	0.5973323101
45	0.5942690397
46	0.5909330122
47	0.5867097821
48	0.5839421957
49	0.5814121825
50	0.5785565122
51	0.5764046205
52	0.5733410423
53	0.5710031838
54	0.5676955453
55	0.5638615417
56	0.5615622817
57	0.5586239154
58	0.5552519372
59	0.5529423984
60	0.5499145634
61	0.5466912137
62	0.5440150445
63	0.5413789851
64	0.5393899154
65	0.5365683622
66	0.5334609434
67	0.5305540859
68	0.527656086
69	0.525008061
70	0.5226221383
71	0.5206269596
72	0.5185897408
73	0.5162478132
74	0.5133800436
75	0.510346827
76	0.5087279555
77	0.5069767456
78	0.5037785592
79	0.502387659
80	0.5000708963
81	0.4981557146
82	0.4966508297
83	0.4950467638
84	0.492905663
85	0.4905246047
86	0.4884858808
87	0.4854357816
88	0.4822916306
89	0.4801777842
90	0.4780199616
91	0.4761234887
92	0.4748806382
93	0.4722534305
94	0.4703155918
95	0.4680841829
96	0.4657904239
97	0.4639848214
98	0.4622980252
99	0.4597908036
100	0.4573795715
101	0.4554649537
102	0.4536786409
103	0.4518253232
104	0.4492095151
105	0.4473122126
106	0.4455993058
107	0.4441559726
108	0.4429239636
109	0.4408045844
110	0.4392913821
111	0.4372486718
112	0.436218191
113	0.4341110751
114	0.4322504815
115	0.4308484377
116	0.4295656205
117	0.42748927
118	0.4267064241
119	0.4244241342
120	0.4226861074
121	0.42154692
122	0.4206631369
123	0.4181642089
124	0.4168423327
125	0.4149263467
126	0.4131294733
127	0.4123599957
128	0.4107583742
129	0.40957916
130	0.4072968833
131	0.4066239084
132	0.4049395129
133	0.4036302701
134	0.402751434
135	0.401334809
136	0.399597491
137	0.3982610597
138	0.3964805685
