iter	Passed	Remaining
0	275	137241
1	310	77421
2	352	58360
3	390	48364
4	425	42120
5	452	37296
6	480	33821
7	508	31255
8	546	29841
9	574	28160
10	603	26829
11	632	25720
12	665	24927
13	706	24510
14	761	24611
15	796	24097
16	828	23527
17	868	23266
18	904	22902
19	938	22524
20	967	22071
21	1001	21768
22	1034	21458
23	1064	21114
24	1091	20734
25	1119	20402
26	1151	20166
27	1185	19979
28	1217	19770
29	1249	19567
30	1274	19283
31	1298	18985
32	1319	18679
33	1348	18478
34	1373	18248
35	1399	18035
36	1422	17796
37	1453	17676
38	1485	17555
39	1513	17401
40	1539	17232
41	1572	17152
42	1605	17059
43	1634	16934
44	1663	16823
45	1694	16728
46	1730	16682
47	1760	16576
48	1786	16444
49	1810	16297
50	1834	16151
51	1859	16021
52	1883	15886
53	1908	15762
54	1931	15628
55	1956	15513
56	1980	15395
57	2006	15289
58	2031	15182
59	2055	15070
60	2079	14967
61	2110	14911
62	2134	14806
63	2159	14713
64	2191	14665
65	2223	14623
66	2257	14587
67	2284	14512
68	2310	14432
69	2342	14389
70	2366	14299
71	2392	14220
72	2418	14148
73	2442	14063
74	2467	13983
75	2491	13901
76	2514	13811
77	2537	13728
78	2559	13639
79	2583	13562
80	2623	13568
81	2654	13533
82	2689	13509
83	2730	13520
84	2771	13531
85	2800	13479
86	2824	13410
87	2853	13360
88	2880	13301
89	2903	13225
90	2925	13149
91	2950	13086
92	2977	13030
93	3002	12967
94	3026	12900
95	3048	12827
96	3070	12758
97	3097	12705
98	3122	12648
99	3153	12615
100	3177	12554
101	3202	12497
102	3229	12448
103	3255	12395
104	3284	12355
105	3315	12322
106	3348	12299
107	3376	12256
108	3402	12206
109	3427	12152
110	3451	12094
111	3477	12046
112	3502	11995
113	3525	11938
114	3548	11880
115	3571	11824
116	3597	11776
117	3623	11729
118	3647	11677
119	3676	11641
120	3701	11594
121	3726	11547
122	3749	11493
123	3780	11463
124	3815	11446
125	3862	11463
126	3900	11455
127	3927	11415
128	3954	11374
129	3981	11331
130	4006	11285
131	4030	11236
132	4055	11191
133	4080	11144
134	4106	11103
135	4133	11064
136	4159	11020
137	4190	10993
138	4216	10950
139	4240	10904
140	4266	10862
141	4292	10822
142	4336	10825
143	4379	10828
144	4406	10788
145	4432	10748
146	4456	10700
147	4479	10655
148	4502	10606
149	4527	10563
150	4550	10516
151	4573	10470
152	4599	10432
153	4627	10396
154	4652	10355
155	4677	10314
156	4702	10273
157	4735	10250
158	4758	10205
159	4782	10162
160	4810	10127
161	4837	10093
162	4870	10069
163	4898	10035
164	4923	9996
165	4957	9975
166	4989	9948
167	5018	9917
168	5053	9896
169	5083	9867
170	5107	9826
171	5133	9788
172	5160	9754
173	5190	9724
174	5217	9689
175	5250	9666
176	5276	9629
177	5306	9599
178	5334	9565
179	5364	9536
180	5397	9512
181	5434	9496
182	5464	9465
183	5488	9426
184	5510	9382
185	5532	9340
186	5557	9301
187	5581	9263
188	5606	9225
189	5630	9186
190	5660	9158
191	5685	9120
192	5709	9082
193	5738	9050
194	5762	9012
195	5792	8984
196	5818	8949
197	5844	8914
198	5869	8878
199	5898	8847
200	5931	8823
201	5972	8811
202	5999	8777
203	6022	8738
204	6048	8703
205	6072	8667
206	6107	8644
207	6136	8614
208	6168	8589
209	6197	8558
210	6224	8525
211	6251	8493
212	6274	8453
213	6303	8424
214	6328	8389
215	6355	8355
216	6381	8322
217	6405	8286
218	6431	8252
219	6455	8216
220	6486	8189
221	6516	8160
222	6548	8133
223	6578	8105
224	6605	8073
225	6634	8043
226	6661	8011
227	6685	7976
228	6710	7941
229	6737	7909
230	6763	7876
231	6789	7842
232	6816	7811
233	6842	7777
234	6869	7746
235	6894	7712
236	6923	7683
237	6954	7655
238	6988	7631
239	7015	7600
240	7043	7569
241	7068	7535
242	7094	7503
243	7120	7470
244	7145	7436
245	7173	7406
246	7197	7372
247	7222	7338
248	7246	7304
249	7276	7276
250	7307	7248
251	7336	7220
252	7371	7196
253	7398	7165
254	7430	7139
255	7455	7106
256	7479	7072
257	7507	7041
258	7536	7012
259	7569	6987
260	7601	6960
261	7629	6930
262	7656	6899
263	7679	6865
264	7703	6831
265	7727	6797
266	7751	6764
267	7775	6731
268	7802	6700
269	7826	6667
270	7850	6633
271	7872	6599
272	7901	6569
273	7926	6538
274	7954	6507
275	7979	6476
276	8004	6444
277	8045	6424
278	8076	6397
279	8105	6368
280	8132	6338
281	8161	6308
282	8186	6276
283	8213	6246
284	8235	6213
285	8259	6180
286	8283	6147
287	8308	6115
288	8332	6083
289	8357	6052
290	8381	6019
291	8413	5993
292	8449	5969
293	8484	5944
294	8514	5917
295	8558	5898
296	8599	5877
297	8631	5851
298	8661	5822
299	8685	5790
300	8727	5770
301	8776	5754
302	8805	5725
303	8828	5691
304	8852	5659
305	8875	5626
306	8900	5595
307	8930	5567
308	8954	5534
309	8977	5502
310	9004	5472
311	9038	5446
312	9074	5421
313	9104	5393
314	9135	5365
315	9163	5335
316	9188	5304
317	9211	5272
318	9245	5245
319	9295	5228
320	9339	5207
321	9385	5188
322	9439	5172
323	9487	5153
324	9526	5129
325	9556	5100
326	9604	5081
327	9656	5063
328	9690	5036
329	9733	5014
330	9765	4986
331	9791	4954
332	9814	4922
333	9839	4890
334	9863	4858
335	9886	4825
336	9912	4794
337	9936	4762
338	9959	4729
339	9983	4698
340	10011	4667
341	10035	4636
342	10060	4605
343	10086	4574
344	10113	4543
345	10140	4513
346	10167	4483
347	10196	4453
348	10226	4424
349	10252	4393
350	10276	4362
351	10303	4332
352	10329	4301
353	10353	4270
354	10378	4239
355	10403	4208
356	10425	4176
357	10448	4144
358	10470	4112
359	10493	4080
360	10523	4051
361	10547	4020
362	10572	3990
363	10597	3959
364	10622	3928
365	10651	3899
366	10678	3869
367	10710	3841
368	10743	3813
369	10776	3786
370	10809	3758
371	10836	3728
372	10867	3700
373	10901	3672
374	10930	3643
375	10951	3611
376	10974	3580
377	11000	3550
378	11038	3524
379	11072	3496
380	11097	3466
381	11122	3435
382	11150	3406
383	11179	3377
384	11204	3346
385	11234	3317
386	11267	3290
387	11297	3261
388	11323	3231
389	11348	3200
390	11372	3170
391	11397	3140
392	11420	3109
393	11443	3078
394	11466	3048
395	11490	3017
396	11513	2987
397	11536	2956
398	11562	2926
399	11592	2898
400	11615	2867
401	11639	2837
402	11661	2806
403	11683	2776
404	11707	2746
405	11734	2716
406	11773	2690
407	11809	2662
408	11837	2633
409	11862	2603
410	11886	2574
411	11911	2544
412	11937	2514
413	11962	2484
414	11995	2456
415	12025	2428
416	12058	2400
417	12086	2371
418	12118	2342
419	12141	2312
420	12172	2284
421	12195	2254
422	12284	2236
423	12329	2210
424	12356	2180
425	12385	2151
426	12413	2122
427	12438	2092
428	12466	2063
429	12490	2033
430	12517	2003
431	12542	1974
432	12565	1944
433	12590	1914
434	12618	1885
435	12648	1856
436	12671	1826
437	12697	1797
438	12718	1767
439	12743	1737
440	12768	1708
441	12791	1678
442	12814	1648
443	12835	1618
444	12861	1589
445	12887	1560
446	12911	1530
447	12938	1501
448	12972	1473
449	13002	1444
450	13037	1416
451	13062	1387
452	13086	1357
453	13117	1329
454	13147	1300
455	13187	1272
456	13216	1243
457	13249	1215
458	13275	1185
459	13298	1156
460	13324	1127
461	13348	1097
462	13374	1068
463	13397	1039
464	13422	1010
465	13447	981
466	13475	952
467	13505	923
468	13537	894
469	13567	865
470	13593	836
471	13618	807
472	13641	778
473	13669	749
474	13700	721
475	13725	692
476	13750	663
477	13776	634
478	13799	605
479	13824	576
480	13848	547
481	13874	518
482	13898	489
483	13920	460
484	13945	431
485	13973	402
486	13998	373
487	14029	344
488	14065	316
489	14094	287
490	14127	258
491	14152	230
492	14178	201
493	14210	172
494	14234	143
495	14282	115
496	14320	86
497	14360	57
498	14401	28
499	14431	0
