IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,Listing_Year,Listing_Month
M & B Engineering Ltd,-0.28843178040303297,-0.1683342462606669,-0.26546463292654743,0.5024118006870005,-0.02376980787616094,0.07019494577646121,-0.10661045540067393,-0.5571030789058733,-0.20332104390167502,-0.21039993339547675,-0.279826178222135,2025,8
Sri Lotus Developers & Realty Ltd,-0.2346456008927035,1.8443968198093672,-0.12279461801155592,0.13142008360931687,0.5898368995042319,-0.6528985591805448,-0.6036128868305795,0.04296559529452253,-0.39018338237091094,-0.39787330531897097,-0.19035474045852285,2025,8
National Securities Depository Ltd (NSDL),0.9848613255260054,0.8959538823225206,-0.28935288401144077,-0.24803762212213643,0.06583092869031408,1.3471473055941527,1.0800459057707776,-0.25173897824172203,0.5144952126676334,-0.5120976854389431,-0.26515209112340465,2025,8
Aditya Infotech Ltd,-0.042227437574060146,1.358701612876757,-0.01808200819464639,1.056329344033632,1.177550670537972,0.9625231008297878,1.4115410026162438,1.0277177926108463,0.32457023564984294,0.3166334760374619,-0.09914786532449579,2025,8
Laxmi India Finance Ltd,-0.43832855983555247,-0.7288857037241093,-0.5321923444265829,-0.4146361845588143,-0.6632694516032068,-0.6282826100756255,-0.7071450511352142,-1.001668063240336,-0.433308644095151,-0.4390391227991465,-0.3437288387283011,2025,8
Shanti Gold International Ltd,-0.39823512954563434,1.1073871819191212,0.5643223464763102,0.43649803188265257,0.8139318809792206,-0.5021258709129137,-0.4835059676836714,-0.09090552481183532,-0.34639592852806456,-0.35135891219676146,-0.21515221221800673,2025,8
Brigade Hotel Ventures Limited,-0.24691794044294768,-0.663683219117972,-0.5316061296760334,-0.28825106822754143,-0.6146503409091318,-0.83751817746744,-0.8368605238138749,-0.843969764848069,-0.4854976604428157,-0.49202810748802883,-0.3391010057405281,2025,7
GNG Electronics Limited,-0.3602325422902023,3.463539101375849,1.1226186195309173,0.9344795787668786,2.0575379460889667,-0.38520011266454685,-0.19308743718644772,0.929587439933352,-0.2907717905651292,-0.29667262409206335,-0.18472421032339897,2025,7
Indiqube Spaces Limited,-0.26949298480080425,-0.5223584163187472,-0.4850753338511646,-0.09171918876503575,-0.4669302076508892,-0.38520011266454685,-0.5084882068662283,-0.8072884509079192,-0.37760173211738984,-0.3841210078864345,-0.3554141170224281,2025,7
Anthem Biosciences Limited,0.7513080981593214,2.1411314281504046,-0.23527457327324672,-0.31123018028777283,0.4914809974104713,0.6394387688277212,0.7031503934877802,0.27684816110094645,0.06677056647489937,0.0617067825107918,-0.19783640378875592,2025,7
Smartworks Coworking Limited,-0.313976427911319,-0.3631504077901693,-0.37875063347024385,-0.3750274519286786,-0.44755707542030004,0.1378888058149894,0.013736677584527986,-0.3410908968138813,-0.17397765564593012,-0.18138018474945602,-0.2693364234498494,2025,7
Travel Food Services Limited,0.22291570085714132,-0.6276002907437018,-0.5340975423658689,-0.4608967654169118,-0.644455159725423,2.2702453970286283,1.6714523756501531,-0.49063779210833736,0.3937279250367962,0.38725785719311284,-0.3048550416310076,2025,7
Crizac Limited,-0.2088888388736725,1.376743077063892,0.012327881990110444,-0.17214608097584577,0.4162238298993363,-0.36058416355962747,-0.361237123992119,-0.11724082712784022,-0.3096856529528237,-0.31526016637746035,-0.23775146330829844,2025,7
Indogulf Cropsciences Limited,-0.45888094082309105,-0.22309167265319968,-0.191088636450576,-0.03487612208972645,-0.21414808806522037,-0.7729013110670266,-0.7671985107086682,-0.5652544820036843,-0.4681565043368114,-0.474740451233281,-0.33597721847378126,2025,7
HDB Financial Services Limited,4.200062777325163,0.1284003620803705,-0.47247171671434973,-0.43912708030721886,-0.38720231731731053,1.1625276873072574,0.9719496785385603,-0.16270057517332473,0.057458489806997255,0.05081920206299802,-0.32074393488902836,2025,7
Sambhv Steel Tubes Limited,-0.330097130727936,0.23680740566096287,-0.31250836665814713,-0.24017634694363618,-0.16795061889996915,-0.8621341265723593,-0.7693604352533127,0.5091631493885607,-0.4566509162760257,-0.46337265811174416,-0.13925575121852882,2025,7
Globe Civil Projects Limited,-0.4895617896987015,0.8293270715963464,0.5032827355753406,1.1425010142594998,0.9046502982513067,-0.8959810565916234,-0.8150010645291377,0.322307909146431,-0.4893218199277676,-0.4959277655799763,-0.26563415705963106,2025,7
Kalpataru Limited,0.06761757691886618,-0.700082664407806,-0.5360760171489736,-0.4427553611588344,-0.656004527016736,0.15942776128179387,-0.03911036684011156,-0.5646274509961605,-0.21834452759255712,-0.22522029005064853,-0.3266829872233371,2025,7
Ellenbarrie Industrial Gases Limited,-0.21171829493664548,0.2670347710973033,-0.434221204240993,-0.4170550384598913,-0.2847482526363099,0.11634985034818499,0.14801621319077113,0.155831176648829,-0.12423047273562637,-0.1320755904022225,-0.20373689084816657,2025,7
Arisinfra Solutions Limited,-0.34539967757453677,-0.7269866022307266,-0.5226663547301531,-0.312741963975946,-0.648739602430265,-0.4313550172362706,-0.5315487353424346,-0.7474069896893845,-0.4331430960654994,-0.4407033080995317,-0.4482021684272776,2025,6
Oswal Pumps Limited,-0.009145149416087127,0.6444811929071028,-0.27674926687462587,-0.37291095476523617,-0.05692766880928481,0.7748264889047777,0.4843155868021137,-0.4733944394014294,0.0755859990538467,0.06857879146263128,-0.22764736128499397,2025,6
Scoda Tubes Limited,-0.4513054225821996,0.3505952368061394,0.28257288199344305,0.10481269069746986,0.30371063886783745,-0.683668495561694,-0.6975364976034615,-0.5652544820036843,-0.40425496489129636,-0.4105244254134417,-0.2002660161073368,2025,6
Prostarm Info Systems Limited,-0.4710017700085174,0.9041833221271787,1.0820965248991814,0.7122473766054298,1.1125389094949372,-0.7913632728957162,-0.7335685733475339,0.03199255266285391,-0.38203014191057,-0.3898421623270623,0.06737699168553758,2025,6
Aegis Vopak Terminals Limited,0.5259364304928001,-0.6972340121677321,-0.5415717804353753,-0.45847791151583484,-0.6591712890159668,-0.3913540999407767,-0.5053654269684087,-0.7652773734038163,-0.3564943583368117,-0.36395207558922865,-0.31060126759082574,2025,6
Schloss Bangalore Limited,0.7910795689240017,-0.6313984937304671,-0.5382010456197156,-0.45666377109002704,-0.6142777806739284,0.22404462768220715,-0.05736661855044163,-0.7706071369677697,-0.19371925818188263,-0.20034030583344672,-0.31869997531942856,2025,6
Belrise Industries Limited,0.27973208766382734,0.965271086830987,-0.26480514133217925,-0.3526530533437164,0.07123305210076682,-0.83751817746744,-0.7972252404953952,-0.26929584645239196,-0.4432415258742466,-0.45048143168040206,-0.12035876651845558,2025,5
Borana Weaves Limited,-0.47975528133586753,0.6307127070800785,1.194063542254141,5.581400279473416,2.073371756085121,-0.44981697906496015,-0.45011624416083096,-0.17336010230123144,-0.373876901450229,-0.3812397318439765,-0.3131851410089991,2025,5
Ather Energy Limited,0.5944191153904591,-0.7225553654128338,-0.5408390119971885,-0.4279398810147378,-0.6714657767776868,-0.1267326470628936,-0.25061865145781664,-0.5160325479130563,-0.21598546817002193,-0.2234401913462564,-0.21295399154881453,2025,5
Quality Power Electronics Limited,-0.20938124755933044,-0.7331586820842202,-0.5350501413355119,-0.42642809732656467,-0.6740736984241124,0.19327469130105795,0.004008017133628406,-0.5132109083791986,0.1094405711175976,0.10393237968474493,0.022795533903323922,2025,2
Hexaware Technologies Limited,2.779653107158013,-0.6056023651120197,-0.5442097468128483,-0.47843345619972,-0.6485533223126632,1.0640638908875801,0.7221272867129915,-0.46336194328104663,0.03018445192189732,0.022544611014164714,-0.32124528346270376,2025,2
Ajax Engineering Limited,-0.05401494395688723,-0.5214088655720559,-0.4983384425823477,-0.42370688668785306,-0.5781394378591753,0.8209813934765015,0.3906321898675254,-0.7445853501555268,0.03709608215985127,0.02929242703313956,-0.26760098607943456,2025,2
Dr Agarwal's Healthcare Limited,0.61201704426405,-0.6760273788249591,-0.5427442099364744,-0.4693627540706813,-0.6692304153664651,0.12250383762441483,-0.08042714702664804,-0.6050709509814536,-0.18291724924711616,-0.1882935913455836,-0.2742727786368074,2025,2
Denta Water & Infrastructure Limited,-0.4511160346261773,3.000316595448267,3.1714391727015196,2.256383235705455,3.431353813402384,-0.20981147529199645,-0.24113020484521094,-0.18151150539904246,-0.2950346523286577,-0.30242689664812167,-0.29282267586279764,2025,1
